Composer, Score, Distribution
Mozart,Duo for Violin and Viola No2 K424 iii Bb major.mid,"[170.74999968000037, 7.75, 232.74999838000102, 171.49999897700025, 51.583333400000015, 302.79166487700115, 23.75, 131.1666658000006, 28.416667000000075, 154.58333241000085, 322.1666645200013, 22.250000000000114]"
Mozart,Flute Quartet K285 iii D major.mid,"[38.5, 105.875, 355.75, 9.75, 208.0, 14.5, 192.625, 214.75, 41.5, 329.0, 12.5, 140.875]"
Mozart,Duo for Violin and Viola No2 K424 ii Eb major.mid,"[28.333333330000002, 4.625, 28.791666669999998, 73.08333333, 2.5, 29.375, 2.25, 53.375, 26.25, 8.25, 58.125, 4.25]"
Mozart,Eleven Minuets K176 No8 G major.mid,"[74.12499979999996, 15.25, 112.7083332, 0, 33.375, 3, 39.125, 84.37499979999998, 13.25, 106.66666639999997, 9, 79.91666635999995]"
Mozart,Divertimento-Piano Trio K254 ii Eb major.mid,"[38.25, 3.75, 53.625, 85.29166659999999, 2.375, 68.125, 7.125, 54.625, 37.375, 20.75, 103.33333333, 8.375]"
Mozart,Divertimento No16 K289 i Eb major.mid,"[277.375, 4.0, 292.625, 583.25, 20.5, 536.75, 2.25, 340.75, 153.5, 147.0, 708.625, 3.75]"
Mozart,Flute Conceto K315 ii C major.mid,"[210.25, 9.5, 154.25, 13.5, 103.75, 91.0, 26.875, 199.625, 20.375, 87.0, 16.125, 73.75]"
Mozart,Flute Sonata K14 ii C major.mid,"[198.49999969999993, 3.625, 129.41666632999994, 14.58333325999999, 129.45833319999997, 107.91666655999998, 10.0, 220.66666666, 9.958333299999993, 121.74999979999996, 3.0, 87.24999993]"
Mozart,"Flute Concerto 1, K313 ii D major.mid","[14.583333299999993, 181.625, 416.5833333, 17.5, 291.875, 26.25, 245.125, 177.5833333, 71.25, 709.2083333, 35.5, 164.6666668]"
Mozart,Funeral March K453a C minor.mid,"[64.5, 11.0, 38.75, 80.0, 3.5, 37.0, 6.75, 106.75, 30.5, 1.0, 14.75, 34.25]"
Mozart,"Don Giovanni K527 No21b Aria ""Mi tradi quell'alma ingrata"" Eb major.mid","[206.37500013000005, 16.833333299999993, 217.75000017000005, 406.749999953, 20.666666699999993, 261.66666652299995, 41.66666670000001, 259.04166671, 209.87499996999998, 75.83333339999999, 385.25000004000003, 14.875]"
Mozart,Divertimento No17 K334 D major.mid,"[198.49999923000018, 847.2083144900018, 1673.5416405470012, 125.87499780000024, 1314.2083019370032, 265.0833307000005, 1081.2499710140023, 767.3749863830009, 351.708326100001, 1888.749960490004, 186.4583278000007, 772.416657180001]"
Mozart,"Flute Concerto 2, K314 iii D major.mid","[14.5, 112.20833340000001, 483.83333350000004, 5.5, 203.83333350000004, 0.75, 227.33333340000001, 146.70833340000001, 26.0, 403.58333360000006, 7.0, 96.70833340000001]"
Mozart,"Don Giovanni K527 No3 Aria ""Ah chi mi dici mai"" Eb major.mid","[118.0, 0, 138.75, 255.875, 3.0, 239.5, 16.0, 193.75, 98.0, 40.75, 345.25, 10.5]"
Mozart,Divertimento No13 K253 F major.mid,"[1038.8333283529998, 7.875, 297.24999792000057, 67.08333270000048, 291.0416648329999, 835.9999968299999, 45.95833299999998, 505.0416648299997, 17.375, 546.7916643600001, 328.4583328199999, 101.87499811000038]"
Mozart,"Le Nozze di Figaro K492 No10 Aria ""Non piu andrai farfallone amoroso"" C major.mid","[510.91666649999996, 13.0, 330.0, 13.5, 305.66666680000003, 93.0, 136.875, 547.8333334999995, 0.75, 117.125, 0, 244.0]"
Mozart,"Lied K531 ""Die kleine Spinnerin"" C major.mid","[89.0, 0, 41.875, 1.125, 45.75, 41.875, 4.875, 106.0, 0, 24.5, 0, 53.125]"
Mozart,Horn Quintet K407 ii Bb major.mid,"[117.75, 13.5, 137.25, 116.0, 39.0, 254.25, 6.5, 152.4583333, 15.75, 71.25, 255.5, 10.5]"
Mozart,"La Clemenza di Tito K621 No23 Aria ""Non piu di fiori"" (Reduction) G major.mid","[531.0416661000007, 64.45833329999999, 339.20833330000005, 127.625, 196.83333320000025, 397.2499997000004, 203.0, 405.49999980000035, 77.75, 334.70833310000035, 201.99999980000013, 158.75]"
Mozart,Il Rè pastore K208 Overture (Arrangement) C major.mid,"[445.875, 27.875, 216.25, 14.875, 210.375, 157.0, 50.125, 396.625, 9.125, 151.0, 14.25, 160.0]"
Mozart,"Lied K518 ""Die Verschweigung"" F major.mid","[145.0, 1.5, 66.0, 7.5, 55.0, 98.0, 4.0, 85.0, 2.0, 73.0, 59.0, 20.5]"
Mozart,"Lied K523 ""Abendempfindung"" F major.mid","[271.375, 11.25, 159.0, 74.375, 58.625, 159.25, 15.5, 184.125, 13.0, 94.25, 112.5, 47.875]"
Mozart,La Finta Giardiniera K196 Overture (Arrangement) D major.mid,"[0.375, 111.625, 277.25, 2.5, 184.25, 0, 225.25, 90.375, 31.5, 328.125, 0.75, 96.375]"
Mozart,"Lied K520 ""Als Luise die Briefe"" C minor.mid","[42.875, 4.125, 19.5, 22.333333330000002, 2.875, 11.58333333, 7.0, 48.83333333, 26.125, 3.375, 11.875, 14.125]"
Mozart,"Lied K517 ""Die Alte"" E minor.mid","[65.5, 8.0, 67.0, 30.33333325999999, 92.75, 3.0, 78.5, 96.0, 3.5, 83.83333326, 7.833333259999989, 144.5]"
Mozart,"Lied K519 ""Das Lied der Trennung"" F minor.mid","[167.87500004, 86.16666656, 7.5, 34.125, 62.25, 163.0, 13.375, 80.0, 86.75, 9.125, 111.125, 14.125]"
Mozart,"Le Nozze di Figaro K492 No1 Duet ""Cinque Dieci Venti"" G major.mid","[106.41666632999993, 37.291666599999985, 415.12499960599996, 0, 49.70833343300002, 0.4583332999999925, 111.62499983699996, 206.58333319, 8.958333299999993, 203.45833306999998, 0, 148.2499995299999]"
Mozart,"Lied K596 ""Sehnsucht nach dem Fruehling"" F major.mid","[170.0, 0, 33.75, 0, 34.375, 127.375, 2.5, 51.25, 0, 99.625, 52.5, 9.375]"
Mozart,Le Nozze di Figaro K492 Overture D major.mid,"[72.75, 569.5416608000007, 2025.9583385999993, 44.875, 738.5416666000001, 69.625, 878.9999990000001, 429.9583333999999, 139.0, 1504.5416656000002, 58.75, 389.95833319999997]"
Mozart,"Le Nozze di Figaro K492 No14 Trio ""Susanna or via sortite"" C major.mid","[439.0, 18.5, 317.0, 50.0, 236.75, 165.25, 84.5, 535.25, 45.0, 179.5, 18.5, 235.5]"
Mozart,"Grabmusik K42 Arietta ""Wo bin ich bittrer Schmerz"" D major.mid","[66.75, 228.29166659999999, 738.9166665, 112.875, 425.9999999, 27.125, 325.9999999000001, 284.4583332000001, 96.375, 641.5833332000001, 117.25, 301.12499990000003]"
Mozart,"La Clemenza di Tito K621 No10 Trio ""Vengo Aspettate"" (Reduction) G major.mid","[108.99999983, 32.0, 237.375, 35.0, 80.625, 7.916666660000004, 64.5, 266.62499989, 7.25, 90.62499983, 34.625, 168.375]"
Mozart,"Le Nozze di Figaro K492 No11 Aria ""Porgi Amor"" Eb major.mid","[24.375, 0, 41.0, 70.75, 1.5, 51.625, 2.5, 50.5, 34.75, 8.875, 93.875, 1.0]"
Mozart,Le Nozze di Figaro K492 Septet Finale Act II (Arrangement) Eb major.mid,"[293.2083332300001, 14.0, 368.54166662000006, 970.2083330900002, 19.25, 581.9166663000004, 7.0, 656.6666665000002, 359.6249998600001, 97.70833325999999, 920.6666663600002, 29.625]"
Mozart,"Lied K597 ""Der Fruhling"" Eb major.mid","[36.0, 12.0, 49.5, 117.0, 8.25, 63.0, 3.0, 74.5, 41.25, 25.5, 141.0, 2.25]"
Mozart,"Lied K476 ""Das Veilchen"" G major.mid","[33.125, 5.75, 72.5, 30.5, 13.5, 13.125, 29.875, 69.375, 3.5, 44.875, 20.375, 26.625]"
Mozart,"Lied K390 ""Ich wurd auf meinem Pfad"" D minor.mid","[11.0, 19.75, 64.0, 3.0, 27.5, 37.83333340999998, 6.0, 49.25, 15.0, 68.79166670999999, 23.5, 9.5]"
Mozart,"Le Nozze di Figaro K492 No7 Trio ""Cosa sento"" Bb major.mid","[707.0, 58.5, 504.75, 487.5, 134.0, 1054.0, 75.0, 491.75, 131.5, 555.5, 704.5, 43.5]"
Mozart,"Horn Concerto 3, K447 iii Eb major.mid","[133.125, 57.625, 216.20833333000002, 586.375, 11.625, 288.125, 20.75, 351.25, 215.5, 31.875, 594.625, 18.20833333]"
Mozart,"Lied K468 ""Lied zur Gesellenreise"" Bb major.mid","[83.625, 3.375, 75.66666652, 81.04166652, 14.125, 142.04166659999999, 2.25, 37.875, 0.375, 59.25, 131.125, 4.125]"
Mozart,"Horn Concerto 2, K417 iii Eb major.mid","[129.91666659999999, 3.25, 152.50000007, 472.08333333, 6.0, 223.75000004, 9.75, 379.2083333, 113.12499989999998, 28.375, 543.5833333, 21.375]"
Mozart,"Lied K391 ""Sei du mein Trost"" Bb major.mid","[61.5, 11.0, 57.5, 44.5, 15.5, 116.33333326, 1.5, 64.5, 2.0, 29.5, 91.5, 11.0]"
Mozart,"Horn Concerto 4, K495 iii Eb major.mid","[138.333333714, 10.583333300000021, 143.25000049800013, 403.5000011820001, 15.37499957999998, 199.79166693300004, 20.66666680000003, 202.12500182400038, 130.7083351040004, 41.54166642699997, 397.08333357499964, 44.87499986999997]"
Mozart,"Horn Concerto 1, K412 i D major.mid","[22.958333299999993, 245.2083333, 368.7916667, 22.375, 393.7083333, 11.5, 294.1249999, 201.29166663, 53.708333400000015, 550.3749998999999, 9.125, 176.625]"
Mozart,"Le Nozze di Figaro K492 No26 Aira ""In quegl'anni in cui val poco"" Bb major.mid","[330.16666667, 18.5, 345.04166667, 161.45833334999998, 71.29166667, 659.625, 41.875, 156.25000001, 3.25, 234.29166669, 574.41666671, 20.666666660000004]"
Mozart,"Le Nozze di Figaro K492 No21 Duet ""Che soave zeffiretto"" Bb major.mid","[96.08333336300001, 1.125, 89.41666666, 70.625, 4.625, 157.91666663, 0.125, 29.12499996999999, 1.5, 70.62500000000001, 170.54166662300003, 1.5]"
Mozart,"La Clemenza di Tito K621 No1 Duet ""Come ti piace imponi"" (Reduction) F major.mid","[235.54166663, 2.125, 81.75, 2.0, 83.875, 165.58333323, 2.5, 107.29166666, 0, 127.75, 79.66666659999999, 20.875]"
Mozart,"Lied K149 ""Ich hab es langst gesagt"" Bb major.mid","[7.25, 0, 9.375, 8.625, 3.625, 14.5, 0, 1.625, 0, 7.25, 13.375, 0.75]"
Mozart,"Lied K53 ""An die Freude"" F major.mid","[50.0, 0, 19.875, 3.875, 24.874999990000006, 50.41666665, 4.0, 38.291666663, 0, 31.541666662999997, 20.791666660000004, 2.875]"
Mozart,"Horn Concerto 3, K447 i Eb major.mid","[214.29166689999965, 62.0, 274.0, 686.1666668999997, 29.625, 353.37500049999954, 73.625, 439.0416669999995, 273.99999990000015, 90.5, 622.5833332000002, 37.375]"
Mozart,"Horn Concerto 3, K447 ii Ab major.mid","[132.1666667, 110.625, 40.25, 336.41666680000003, 20.375, 79.41666677, 0, 141.45833340000001, 259.20833333999997, 5.5, 199.20833340000001, 18.125]"
Mozart,"Lied K392 ""Verdankt sei es dem Glanz"" F major.mid","[163.25, 0, 48.0, 0, 81.5, 166.0, 4, 81.0, 0, 83.25, 60.0, 15.5]"
Mozart,"German Dance K605 No3 ""The Sleigh Ride"" C major.mid","[353.25, 0, 63.75, 0, 113.87499989999998, 101.125, 4.875, 300.5, 0, 197.625, 29.75, 72.75]"
Mozart,"Lied K598 ""Das Kinderspiel"" A major.mid","[0, 65.25, 60.75, 3.0, 125.25, 0, 21.0, 0, 45.75, 98.0, 0, 70.5]"
Mozart,"La Clemenza di Tito K621 No9 Aria ""Parto ma tu ben mio"" (Reduction) Bb major.mid","[232.37500029999995, 6.5, 223.04166700000007, 155.20833352999972, 25.0416666000001, 324.1250005999998, 2.1666666000000987, 95.00000029999995, 13.75, 138.2499999000002, 323.833333, 9.249999899999978]"
Mozart,"Horn Concerto 2, K417 ii Bb major.mid","[61.04166670699999, 2.0, 48.91666669999999, 34.25, 9.0, 104.625, 5.375, 43.875, 7.125, 36.625, 105.7916667, 4.75]"
Mozart,"La Clemenza di Tito K621 No5 Chorus ""Serbate o Dei custodi"" (Reduction) Eb major.mid","[27.625, 0, 88.54166656, 217.66666663, 0, 114.29166663, 0, 144.45833333000002, 62.37499993, 8.25, 250.54166656, 0]"
Mozart,"Le Nozze di Figaro K492 No12 Aria ""Voi che sapete"" Bb major.mid","[107.875, 19.25, 82.125, 86.875, 20.25, 117.125, 7.0, 57.0, 23.0, 50.875, 122.0, 4.25]"
Mozart,"Lied K473 ""Die Zufriedenheit"" Bb major.mid","[61.375, 0, 65.25, 34.62499996, 16.0, 100.99999996, 2.5, 19.125, 2.0, 35.5, 88.25, 6.0]"
Mozart,"Gradual K273 ""Sancta Maria"" (Reduction) F major.mid","[234.37499975299994, 6.25, 102.29166636299993, 13.916666599999985, 84.29166659999999, 183.8749994889999, 75.20833329999999, 171.20833322, 5.5, 94.99999979999996, 61.70833329999999, 45.20833329999999]"
Mozart,Gavotte for Piano K10 F major.mid,"[62.75, 1.5, 23.5, 0, 23.0, 72.083333367, 0, 34.0, 0, 49.5, 17.75, 2.0]"
Mozart,"Lied K147 ""Wie unglucklich bin ich nicht"" F major.mid","[37.75, 3, 16.75, 5.125, 16.333333330000002, 40.125, 4.25, 29.25, 3.625, 20.125, 17.0, 5.5]"
Mozart,"La Clemenza di Tito K621 No2 Aria ""Deh se piacer mi vuoi"" (Reduction) G major.mid","[76.5, 27.333333330000002, 261.79166653, 3.5, 75.95833329999999, 7.25, 72.875, 205.33333333000002, 2.0, 143.33333319999997, 2.5, 170.0833333]"
Mozart,"Horn Concerto 4, K495 i Eb major.mid","[254.125, 57.5, 265.0, 978.25, 21.75, 408.79166660000004, 26.75, 541.8333333, 322.25, 71.125, 768.75, 22.5]"
Mozart,"Horn Concerto 4, K495 ii Bb major.mid","[95.708333273, 10.25, 158.833333474, 114.624999779, 19.375, 252.208333628, 16.5, 86.249999779, 15.875, 68.666666814, 344.708333253, 8.75]"
Mozart,Horn Quintet K407 i Eb major.mid,"[328.0, 16.5, 298.75, 682.0, 41.5, 569.25, 45.0, 438.5, 234.25, 111.5, 743.0, 32.0]"
Mozart,"Lied K539 ""Ich mochte wohl der Kaise sein"" Ein deutsches Kriegslied A major.mid","[18.0, 160.16666639999997, 81.5, 76.0, 370.416666667, 0, 102.54166656299998, 0, 185.29166639999994, 426.875, 0, 238.66666639999997]"
Mozart,"Le Nozze di Figaro K492 No18 Aria ""Vedro mentre io sospiro"" D major.mid","[33.5, 273.0833334, 632.2916666000001, 15.333333400000015, 423.0416666, 68.875, 262.41666680000003, 347.9166666, 82.75, 777.0, 41.16666680000003, 236.45833319999997]"
Mozart,"Le Nozze di Figaro K492 No25 Aria ""Il capro e la capretta"" G major.mid","[104.875, 28.25, 252.5416667, 13.25, 57.375, 2.25, 69.875, 201.375, 1.75, 127.75, 5.75, 135.75]"
Mozart,Idomeneo K366 Overture D major.mid,"[152.75, 278.4583334, 964.875, 74.125, 402.20833319999997, 107.25, 284.29166690000005, 253.58333319999997, 160.875, 909.2916667999998, 97.0, 267.5]"
Mozart,"Le Nozze di Figaro K492 No29 Octet ""Pian pianin le andro piu presso"" (Arrangement) D major.mid","[486.00000020000016, 232.99999995000002, 1343.50000122, 457.4166665, 430.45833327000014, 489.79166620000024, 430.0833327000001, 810.8333338000002, 215.0, 1089.37500279, 637.1666663000004, 373.58332930000046]"
Mozart,"Horn Concerto 1, K412 ii D major.mid","[37.541666599999985, 137.33333316, 426.16666652, 2.0, 216.87499965299997, 72.12499979999996, 207.58333316299996, 115.41666646299997, 35.83333329999999, 429.41666636299993, 36.95833329999999, 47.74999996]"
Mozart,"Le Nozze di Figaro K492 No28 Aria ""Deh vieni non tardar"" F major.mid","[200.125, 0, 53.625, 3.0, 110.375, 182.5, 1.0, 119.125, 20.5, 96.0, 73.5, 33.5]"
Mozart,"Hymn K327 ""Adoramus te"" C minor.mid","[88.0, 3.5, 46.0, 34.5, 6.0, 40.5, 3.5, 96.0, 34.5, 8.5, 32.5, 19.5]"
Mozart,"Le Nozze di Figaro K492 No24 Aria ""L'ho perduto"" F minor.mid","[94.0, 34.0, 0, 4.5, 29.5, 67.5, 1.0, 41.0, 50.0, 4.5, 48.0, 8.5]"
Mozart,"La Clemenza di Tito K621 No4 ""Marcia"" (Reduction) Eb major.mid","[23.0, 9.0, 54.0, 191.20833319999997, 0, 94.75, 6.416666599999985, 117.375, 39.25, 4.25, 206.5, 7.0]"
Mozart,"Lied K472 ""Der Zauberer"" G minor.mid","[55.625, 6.0, 55.375, 22.625, 7.5, 45.625, 13.0, 50.375, 4.5, 28.125, 50.625, 2.0]"
Mozart,"Lied K148 ""Auf die feierliche Jahannisloge"" for Tenor and Organ D major.mid","[0, 10.625, 17.125, 0, 12.75, 0, 14.25, 9.375, 3.125, 29.25, 0, 7.625]"
Mozart,"Lied K351 ""Komm liebe Zither"" C major.mid","[103.958333333, 0, 53.25, 0, 48.625, 30.875, 7.0, 78.25, 0, 36.25, 0, 29.5]"
Mozart,"Lied K524 ""An Chloe"" Eb major.mid","[51.75, 5.375, 68.25, 192.20833326, 3.0, 68.75, 1.125, 99.16666674000001, 82.0, 19.25, 194.29166663, 16.0]"
Mozart,"Lied K429 Trio ""Dir Seele des Weltalls"" Eb major.mid","[164.0, 9.625, 158.625, 230.0, 16.375, 204.5, 11.125, 210.125, 90.625, 43.625, 323.375, 29.25]"
Mozart,"La Clemenza di Tito K621 No13 Aria ""Torna di Tito a lato"" (Reduction) G major.mid","[52.33333325999999, 9.875, 127.625, 2.25, 46.625, 0, 48.08333333, 131.625, 0, 77.4583333, 1.875, 78.41666666]"
Mozart,"Lied K349 ""Die Zufriedenheit"" G major.mid","[61.5, 6.0, 116.0, 3.0, 46.5, 5.25, 36.75, 122.75, 3.0, 63.75, 0, 83.25]"
Mozart,"Le Nozze di Figaro K492 No6 Aria ""Non so piu cosa son cosa faccio"" Eb major.mid","[149.12500013000005, 16.5, 104.83333315999998, 344.124999893, 23.625, 250.08333339000004, 1.3333333000000067, 240.95833330000002, 224.75, 30.29166663000001, 318.16666648999995, 11.375]"
Mozart,La Clemenza di Tito K621 Overture C major.mid,"[839.3333329999999, 41.0, 470.33333319999997, 193.75, 334.5, 226.625, 184.625, 768.9583332, 113.125, 301.5, 59.125, 268.375]"
Mozart,"Le Nozze di Figaro K492 No17 Duet ""Crudel perche finora"" A major.mid","[104.75, 146.5, 174.5, 27.25, 393.5, 31.75, 95.5, 61.0, 144.5, 277.75, 10.0, 198.5]"
Mozart,"Le Nozze di Figaro K492 No27 Aria ""Aprite un po' quegli'occhi"" Eb major.mid","[112.08333309999995, 18.66666680000003, 193.29166659999999, 445.25, 13.375, 324.4166670000001, 4.125, 285.8333333, 171.62500020000004, 59.375, 492.58333350000004, 14.5]"
Mozart,"Horn Concerto 2, K417 i Eb major.mid","[224.7916667, 50.125, 268.6666667, 701.9583333, 20.375, 419.375, 39.0, 343.375, 205.25, 78.66666670000001, 677.9166667000001, 17.125]"
Mozart,"Lied K530 ""Das Traumbild"" Eb major.mid","[77.66666651999998, 2.0, 73.91666677, 132.16666648999998, 3.0, 104.375, 5.0, 66.45833323, 51.458333229999994, 52.0, 137.375, 4.5]"
Mozart,Gigue for Piano K574 G major.mid,"[33.75, 21.75, 96.66666645999996, 26.0, 39.75, 10.5, 32.25, 84.58333259999984, 20.25, 77.41666664000002, 20.0, 36.25]"
Mozart,"Motet K618 ""Ave Verum Corpus"" D major.mid","[19.625, 81.25, 149.375, 4.0, 131.75, 19.875, 76.0, 70.25, 29.5, 212.25, 16.25, 64.625]"
Mozart,London Sketchbook Anh109b-KV15 No 41 Eb major.mid,"[21.66666667999999, 0, 26.75, 46.91666667999999, 1.0, 33.41666668, 0, 27.333333339999996, 26.333333339999996, 10.75, 42.16666667999999, 0]"
Mozart,"Masonic Song for Choir and Organ K483 ""closing"" G major.mid","[78.083333337, 17.25, 189.0, 3.5, 46.0, 0, 73.5, 125.041666674, 2.0, 128.16666674, 3.0, 88.500000011]"
Mozart,Nannerl s Notenbuch 5 Untitled G major.mid,"[24.66666667999999, 4.5, 24.0, 0, 13.75, 2, 17.25, 24.16666666, 2, 27.166666660000004, 0, 23.5]"
Mozart,London Sketchbook Anh109b-KV15 No 31 Ab major.mid,"[23.5, 18.75, 3.0, 60.0, 0, 10.5, 1.0, 12.75, 45.5, 1.75, 32.5, 0]"
Mozart,London Sketchbook Anh109b-KV15 No 42 C major.mid,"[17.5, 2.75, 11.0, 0, 12.5, 6.25, 1.75, 35.875, 0, 9.5, 1.875, 10.5]"
Mozart,Nannerl s Notenbuch 2 Allegro C major.mid,"[11.125, 0, 2.25, 0, 9.5, 2.0, 0, 7.0, 0, 2.0, 0, 2.5]"
Mozart,London Sketchbook Anh109b-KV15 No 10 A minor.mid,"[27.75, 2, 26.666666733999982, 4, 21.583333343, 28.999999967000008, 9.5, 14.083333337, 14.75, 65.583333323, 8.416666679999999, 13.166666630000009]"
Mozart,London Sketchbook Anh109b-KV15 No 3 G major.mid,"[20.33333331, 2, 45.50000005999999, 1.0, 11.499999970000001, 0, 25.91666668, 52.416666660000004, 0, 24.75, 0, 27.08333332000001]"
Mozart,London Sketchbook Anh109b-KV15 No 36 Bb major.mid,"[29.83333332000001, 1.5, 28.83333332000001, 20.83333332000001, 6.0, 36.49999998000001, 0, 12.916666660000004, 3.666666660000004, 20.416666660000004, 28.541666660000004, 4.166666660000004]"
Mozart,"Motet K165 ""Exultate Jubilate"" for Voice and Orchestra ii D major.mid","[5.0, 11.75, 10.5, 2.0, 8.5, 0, 15.5, 14.5, 0, 6.25, 0, 7.5]"
Mozart,London Sketchbook Anh109b-KV15 No 40 Bb major.mid,"[33.0, 0, 29.5, 23.5, 6.0, 46.5, 0, 19.25, 0, 22.0, 47.0, 0]"
Mozart,Nannerl s Notenbuch 7 Untitled Bb major.mid,"[24.75, 0, 35.75, 17.33333336999999, 0.75, 33.66666667, 1.5, 19.0, 0, 20.75, 46.75, 5.75]"
Mozart,London Sketchbook Anh109b-KV15 No 39 F major.mid,"[35.0, 2.0, 13.75, 2.0, 13.5, 39.0, 4, 21.0, 0, 39.5, 26.0, 10.0]"
Mozart,London Sketchbook Anh109b-KV15 No 43 C major.mid,"[40.625, 0, 22.0, 0, 29.375, 17.0, 4.625, 40.0, 0, 20.0, 0, 18.75]"
Mozart,"Masonic Cantata K619 ""Die ihr des unermesslichen Weltalls"" C major.mid","[349.750000038, 27.5, 275.6250001479999, 28.0, 269.416666748, 239.91666682799985, 57.75, 322.5000001379999, 32.83333334, 252.54166672999992, 57.625, 160.29166672399992]"
Mozart,London Sketchbook Anh109b-KV15 No 12 F major.mid,"[77.41666660000003, 0.5, 13.500000439999894, 0, 25.666666676999995, 57.16666640600006, 0.5, 44.166666663, 0.5, 36.58333343099998, 17.916666443000054, 2.833333339999996]"
Mozart,"Mitridate K74a Aria ""De di lauri il crine adorno"" (Reduction) G major.mid","[72.16666649999996, 12.666666700000007, 193.45833326800002, 10.041666700000007, 70.7083331, 12.625, 97.79166705299993, 137.24999983000004, 0, 144.20833327400004, 5.791666599999985, 131.33333342900002]"
Mozart,Piano Sonata K331 iii A minor.mid,"[57.54166663599999, 89.66666639999997, 45.91666649999995, 14.083333232999992, 137.79166664899998, 15.95833316999996, 42.66666659600001, 19.00000004000001, 54.24999966999991, 189.33333293599992, 1.9166667000000075, 90.00000024000002]"
Mozart,Piano Sonata K372a i Bb major.mid,"[370.8333333999998, 26.5, 366.58333359999995, 319.3333337999993, 76.0, 448.33333360000006, 75.0000001999997, 320.83333436999953, 49.5, 284.75, 410.08333479999965, 39.5]"
Mozart,Piano Sonata K494 ii Bb major.mid,"[154.04166680000003, 35.91666670000001, 116.12500020000004, 100.70833340000001, 39.83333329999999, 175.20833330000005, 32.5, 94.9166667, 34.16666670000001, 117.33333319999996, 142.62499982999998, 31.708333299999993]"
Mozart,Piano Trio K442 i D minor.mid,"[433.62499980000007, 176.6249998999998, 451.20833429999993, 126.50000030000001, 296.2500006999999, 440.62500223999973, 131.83333240000013, 388.8749999999999, 121.7916680999997, 566.0416672, 280.45833429999993, 113.33333379999999]"
Mozart,Piano Sonata K547a i F major.mid,"[530.9166643200006, 35.3333333999999, 228.33333256000023, 18.25, 231.50000079999984, 440.0833330969999, 21.333333699999912, 341.5833322300004, 17.25, 343.4166660970001, 218.66666646999988, 68.25]"
Mozart,Piano Sonata K309 iii C major.mid,"[173.6666642589996, 14.958333199999942, 134.12499890999987, 14.874999520000031, 126.37499895999989, 105.08333237599979, 28.458332889999966, 202.37499808999976, 7.583333229999994, 92.3333317699996, 13.62499959999991, 77.66666622999998]"
Mozart,Piano Sonata K576 iii D major.mid,"[16.45833343000004, 75.33333304999991, 120.83333395700015, 10.75, 109.66666651999994, 18.5, 73.99999963599993, 67.12500022300006, 23.54166643000002, 153.62499998899997, 12.875, 57.749999829999965]"
Mozart,Piano Quartet No 2 K493 ii Ab major.mid,"[165.58333348000002, 113.79166659999999, 37.83333325999999, 279.291666693, 26.416666700000007, 121.33333319999998, 25.25, 130.66666649999996, 197.41666664, 20.25, 189.58333361700005, 20.83333336999999]"
Mozart,Piano Sonata K283 i G major.mid,"[70.70833329999999, 29.458333330000002, 176.12499988999997, 2.625, 69.83333333, 7.625, 72.5, 111.75, 7.5, 115.83333333, 1.5, 81.58333329999999]"
Mozart,Piano Sonata K494 i F major.mid,"[413.04166572999986, 59.16666689999994, 184.70833389999927, 53.41666719999938, 198.58333452999824, 336.66666743000025, 46.0833332000002, 293.9166660000007, 51.08333319999991, 234.9583342999989, 178.2083338999995, 69.58333369999991]"
Mozart,Piano Sonata K284 ii A major.mid,"[9.125, 86.70833331999998, 56.54166676000003, 16.87499996999999, 111.62499949999989, 5.125, 33.04166649999996, 5.125, 46.58333322999997, 107.45833312999996, 7.125, 80.54166645999996]"
Mozart,"Piano Concerto No 27 in Bb, K 595 i Bb major.mid","[700.9583276100057, 204.5416649000004, 653.7499943080027, 432.0833246500023, 247.249997530001, 1117.6249845060033, 188.7916669000001, 475.12499394000196, 98.41666510000073, 411.0833305900011, 1061.7916582280027, 124.3750000000004]"
Mozart,Piano Trio K442 iii D major.mid,"[99.0, 390.0, 696.7499987900003, 32.0, 538.3333329300001, 47.25, 480.5, 287.8333329300001, 131.9166670699999, 973.6666646500004, 48.5, 321.8333341399998]"
Mozart,Piano Sonata K545 i C major.mid,"[77.66666640999995, 5.124999970000005, 65.33333314999996, 1.958333330000002, 51.41666663999999, 55.66666618999992, 11.875, 82.00000000299997, 3.541666599999985, 55.58333341, 11.291666499999991, 39.62499996999999]"
Mozart,Piano Sonata K570 ii Eb major.mid,"[86.33333337, 14.333333330000002, 52.375, 149.375, 13.458333299999993, 77.41666667, 13.208333330000002, 105.70833329999999, 78.16666674000001, 14.25, 114.125, 24.125]"
Mozart,Piano Sonata K332 iii F major.mid,"[329.0833328600004, 46.874999700000444, 123.08333320000008, 53.83333319999997, 115.0416663900003, 257.2916657800007, 28.458333299999993, 221.12499959000039, 54.99999980000018, 190.08333313000026, 186.99999961000054, 72.54166633000015]"
Mozart,Piano Sonata K331 i A major.mid,"[53.4166666000001, 300.1249989700006, 187.00000010000014, 38.249999900000034, 448.24999873600046, 14.958333400000015, 95.79166620000035, 3.5, 158.66666623000054, 476.66666579000054, 11.625, 226.4166666700001]"
Mozart,"Piano Concerto No 26 in D, K 537 iii D major.mid","[81.87500000000006, 267.41666673, 727.7916668399998, 42.375, 376.54166666, 86.125, 415.00000023999985, 341.70833333, 90.375, 666.6250001399999, 77.70833330000005, 246.91666674000018]"
